sr	scenario	group	MLE	Ac	NoEx	ER_MLE	ER_Ac	ER_NoEx
0.15	Base	pbtGroup9	781	781	764	-1	-1	0
0.2	Base	GSI A	2454	2452	2451	1	1	-2
0.2	Base	GSI B	3328	3328	5144	-2	-2	-43
0.2	Base	GSI C	13740	13741	42468	5	5	-171
0.2	Base	GSIgroup1	1398	1397	1397	-1	-1	-3
0.2	Base	GSIgroup10	15249	15227	26729	-13	-11	-109
0.2	Base	GSIgroup2	1263	1262	1264	0	0	-1
0.2	Base	GSIgroup4	2202	2203	2191	4	4	1
0.2	Base	GSIgroup5	3088	3090	3153	0	1	-7
0.2	Base	GSIgroup7	3752	3752	3761	0	0	-3
0.2	Base	GSIgroup8	6451	6450	10836	1	1	-69
0.2	Base	PBT A	452	453	447	1	1	2
0.2	Base	PBT B	2272	2278	4684	2	1	54
0.2	Base	PBT C	1157	1156	4021	1	1	60
0.2	Base	pbtGroup1	371	371	354	1	1	8
0.2	Base	pbtGroup10	562	562	526	-1	-1	3
0.2	Base	pbtGroup12	668	668	649	0	0	3
0.2	Base	pbtGroup13	598	598	662	1	1	14
0.2	Base	pbtGroup14	865	865	849	1	1	4
0.2	Base	pbtGroup15	1039	1039	1526	1	1	28
0.2	Base	pbtGroup16	939	939	924	0	0	2
0.2	Base	pbtGroup17	1259	1259	1233	0	0	7
0.2	Base	pbtGroup18	1732	1736	1789	-1	-2	15
0.2	Base	pbtGroup19	1379	1379	1594	0	0	20
0.2	Base	pbtGroup2	512	512	637	0	0	19
0.2	Base	pbtGroup20	1659	1659	2047	0	0	25
0.2	Base	pbtGroup21	1940	1942	1901	-2	-2	1
0.2	Base	pbtGroup22	1899	1901	4634	3	3	57
0.2	Base	pbtGroup23	1956	1963	1963	-1	-1	11
0.2	Base	pbtGroup25	4240	4239	7050	1	1	57
0.2	Base	pbtGroup3	402	402	402	1	1	1
0.2	Base	pbtGroup4	522	522	493	-1	-1	2
0.2	Base	pbtGroup5	511	511	504	1	1	2
0.2	Base	pbtGroup6	499	499	449	-2	-2	5
0.2	Base	pbtGroup7	492	492	470	0	0	4
0.2	Base	pbtGroup9	593	593	581	-1	-1	0
0.25	Base	GSI A	2059	2059	2067	-1	-1	-3
0.25	Base	GSI B	2528	2529	3825	5	5	-37
0.25	Base	GSI C	12057	12065	43414	-3	-3	-179
0.25	Base	GSIgroup1	1158	1158	1151	2	2	0
0.25	Base	GSIgroup10	12534	12535	20877	3	5	-93
0.25	Base	GSIgroup2	1055	1055	1056	0	0	0
0.25	Base	GSIgroup4	1964	1963	1979	-2	-2	-5
0.25	Base	GSIgroup5	2058	2060	2117	-1	-1	-8
0.25	Base	GSIgroup7	2407	2407	2404	2	2	-1
0.25	Base	GSIgroup8	5049	5049	9617	0	0	-70
0.25	Base	PBT A	401	402	394	0	-1	0
