group	type	ER
GSIgroup9_cat2	Ac	-2
pbtGroup1_cat2	Ac	-1
pbtGroup10_cat1	Ac	-5
pbtGroup10_cat2	Ac	0
pbtGroup11_cat1	Ac	0
pbtGroup11_cat2	Ac	0
pbtGroup12_cat1	Ac	0
pbtGroup12_cat2	Ac	-1
pbtGroup13_cat1	Ac	-10
pbtGroup13_cat2	Ac	0
pbtGroup14_cat1	Ac	-1
pbtGroup14_cat2	Ac	3
pbtGroup15_cat1	Ac	-1
pbtGroup15_cat2	Ac	2
pbtGroup16_cat1	Ac	-2
pbtGroup16_cat2	Ac	-3
pbtGroup17_cat1	Ac	1
pbtGroup17_cat2	Ac	-1
pbtGroup18_cat1	Ac	-1
pbtGroup18_cat2	Ac	1
pbtGroup19_cat1	Ac	0
pbtGroup19_cat2	Ac	-1
pbtGroup2_cat1	Ac	1
pbtGroup2_cat2	Ac	0
pbtGroup20_cat1	Ac	-2
pbtGroup20_cat2	Ac	-1
pbtGroup21_cat1	Ac	1
pbtGroup21_cat2	Ac	-1
pbtGroup22_cat1	Ac	-3
pbtGroup22_cat2	Ac	1
pbtGroup23_cat1	Ac	0
pbtGroup23_cat2	Ac	3
pbtGroup24_cat1	Ac	1
pbtGroup24_cat2	Ac	-1
pbtGroup25_cat1	Ac	1
pbtGroup25_cat2	Ac	-6
pbtGroup3_cat1	Ac	-2
pbtGroup3_cat2	Ac	-1
pbtGroup4_cat1	Ac	0
pbtGroup4_cat2	Ac	-1
pbtGroup5_cat1	Ac	-5
pbtGroup5_cat2	Ac	1
pbtGroup6_cat1	Ac	-3
pbtGroup6_cat2	Ac	-1
pbtGroup7_cat1	Ac	-5
pbtGroup7_cat2	Ac	-1
pbtGroup8_cat1	Ac	-2
pbtGroup8_cat2	Ac	-1
pbtGroup9_cat1	Ac	-3
pbtGroup9_cat2	Ac	-1
GSIgroup1_cat1	MLE	0
GSIgroup1_cat2	MLE	-3
GSIgroup10_cat1	MLE	-4
GSIgroup10_cat2	MLE	-7
GSIgroup2_cat1	MLE	-1
GSIgroup2_cat2	MLE	-2
GSIgroup3_cat1	MLE	1
GSIgroup3_cat2	MLE	-1
GSIgroup4_cat1	MLE	-1
GSIgroup4_cat2	MLE	-7
GSIgroup5_cat1	MLE	-7
GSIgroup5_cat2	MLE	-12
GSIgroup6_cat1	MLE	1
GSIgroup6_cat2	MLE	-12
GSIgroup7_cat1	MLE	0
GSIgroup7_cat2	MLE	-2
GSIgroup8_cat1	MLE	-3
GSIgroup8_cat2	MLE	-7
GSIgroup9_cat1	MLE	-3
GSIgroup9_cat2	MLE	-4
pbtGroup1_cat2	MLE	0
pbtGroup10_cat1	MLE	-1
pbtGroup10_cat2	MLE	2
pbtGroup11_cat1	MLE	0
pbtGroup11_cat2	MLE	0
pbtGroup12_cat1	MLE	2
pbtGroup12_cat2	MLE	2
pbtGroup13_cat1	MLE	0
pbtGroup13_cat2	MLE	1
pbtGroup14_cat1	MLE	0
pbtGroup14_cat2	MLE	4
pbtGroup15_cat1	MLE	0
pbtGroup15_cat2	MLE	2
pbtGroup16_cat1	MLE	-1
pbtGroup16_cat2	MLE	-3
pbtGroup17_cat1	MLE	1
pbtGroup17_cat2	MLE	1
pbtGroup18_cat1	MLE	1
pbtGroup18_cat2	MLE	5
pbtGroup19_cat1	MLE	0
pbtGroup19_cat2	MLE	0
pbtGroup2_cat1	MLE	1
pbtGroup2_cat2	MLE	1
pbtGroup20_cat1	MLE	-2
pbtGroup20_cat2	MLE	0
pbtGroup21_cat1	MLE	2
pbtGroup21_cat2	MLE	2
pbtGroup22_cat1	MLE	-3
pbtGroup22_cat2	MLE	11
pbtGroup23_cat1	MLE	4
pbtGroup23_cat2	MLE	11
pbtGroup24_cat1	MLE	3
pbtGroup24_cat2	MLE	3
pbtGroup25_cat1	MLE	3
pbtGroup25_cat2	MLE	-1
pbtGroup3_cat1	MLE	1
pbtGroup3_cat2	MLE	4
pbtGroup4_cat1	MLE	0
pbtGroup4_cat2	MLE	0
pbtGroup5_cat1	MLE	0
pbtGroup5_cat2	MLE	3
pbtGroup6_cat1	MLE	-1
pbtGroup6_cat2	MLE	0
pbtGroup7_cat1	MLE	0
pbtGroup7_cat2	MLE	3
pbtGroup8_cat1	MLE	1
pbtGroup8_cat2	MLE	5
pbtGroup9_cat1	MLE	-1
pbtGroup9_cat2	MLE	0
