group	type	MSE
pbtGroup10_cat2	MLE	329
pbtGroup11_cat1	MLE	465
pbtGroup11_cat2	MLE	744
pbtGroup12_cat1	MLE	275
pbtGroup12_cat2	MLE	347
pbtGroup13_cat1	MLE	246
pbtGroup13_cat2	MLE	364
pbtGroup14_cat1	MLE	315
pbtGroup14_cat2	MLE	487
pbtGroup15_cat1	MLE	428
pbtGroup15_cat2	MLE	624
pbtGroup16_cat1	MLE	458
pbtGroup16_cat2	MLE	608
pbtGroup17_cat1	MLE	491
pbtGroup17_cat2	MLE	740
pbtGroup18_cat1	MLE	679
pbtGroup18_cat2	MLE	1075
pbtGroup19_cat1	MLE	564
pbtGroup19_cat2	MLE	871
pbtGroup2_cat1	MLE	195
pbtGroup2_cat2	MLE	304
pbtGroup20_cat1	MLE	677
pbtGroup20_cat2	MLE	960
pbtGroup21_cat1	MLE	719
pbtGroup21_cat2	MLE	1116
pbtGroup22_cat1	MLE	819
pbtGroup22_cat2	MLE	1133
pbtGroup23_cat1	MLE	812
pbtGroup23_cat2	MLE	1326
pbtGroup24_cat1	MLE	877
pbtGroup24_cat2	MLE	1261
pbtGroup25_cat1	MLE	1819
pbtGroup25_cat2	MLE	3035
pbtGroup3_cat1	MLE	147
pbtGroup3_cat2	MLE	253
pbtGroup4_cat1	MLE	200
pbtGroup4_cat2	MLE	301
pbtGroup5_cat1	MLE	215
pbtGroup5_cat2	MLE	312
pbtGroup6_cat1	MLE	185
pbtGroup6_cat2	MLE	280
pbtGroup7_cat1	MLE	214
pbtGroup7_cat2	MLE	309
pbtGroup8_cat1	MLE	215
pbtGroup8_cat2	MLE	323
pbtGroup9_cat1	MLE	232
pbtGroup9_cat2	MLE	331
