sr	group	type	MSE
0.3	pbtGroup18	NoEx	1226
0.3	pbtGroup19	NoEx	1137
0.3	pbtGroup2	NoEx	537
0.3	pbtGroup20	NoEx	1681
0.3	pbtGroup21	NoEx	1060
0.3	pbtGroup22	NoEx	3709
0.3	pbtGroup23	NoEx	1442
0.3	pbtGroup24	NoEx	4257
0.3	pbtGroup25	NoEx	5424
0.3	pbtGroup3	NoEx	280
0.3	pbtGroup4	NoEx	325
0.3	pbtGroup5	NoEx	350
0.3	pbtGroup6	NoEx	338
0.3	pbtGroup7	NoEx	319
0.3	pbtGroup8	NoEx	336
0.3	pbtGroup9	NoEx	346
0.35	GSIgroup1	NoEx	843
0.35	GSIgroup10	NoEx	18068
0.35	GSIgroup2	NoEx	742
0.35	GSIgroup3	NoEx	1393
0.35	GSIgroup4	NoEx	1419
0.35	GSIgroup5	NoEx	1723
0.35	GSIgroup6	NoEx	3848
0.35	GSIgroup7	NoEx	1816
0.35	GSIgroup8	NoEx	7653
0.35	GSIgroup9	NoEx	39262
0.35	pbtGroup1	NoEx	209
0.35	pbtGroup10	NoEx	290
0.35	pbtGroup11	NoEx	3783
0.35	pbtGroup12	NoEx	380
0.35	pbtGroup13	NoEx	455
0.35	pbtGroup14	NoEx	516
0.35	pbtGroup15	NoEx	1232
0.35	pbtGroup16	NoEx	600
0.35	pbtGroup17	NoEx	746
0.35	pbtGroup18	NoEx	1195
0.35	pbtGroup19	NoEx	1116
0.35	pbtGroup2	NoEx	474
0.35	pbtGroup20	NoEx	1365
0.35	pbtGroup21	NoEx	893
0.35	pbtGroup22	NoEx	3908
0.35	pbtGroup23	NoEx	1125
0.35	pbtGroup24	NoEx	3993
0.35	pbtGroup25	NoEx	5883
0.35	pbtGroup3	NoEx	249
0.35	pbtGroup4	NoEx	248
0.35	pbtGroup5	NoEx	275
0.35	pbtGroup6	NoEx	267
0.35	pbtGroup7	NoEx	323
0.35	pbtGroup8	NoEx	280
0.35	pbtGroup9	NoEx	318
0.4	GSIgroup1	NoEx	700
0.4	GSIgroup10	NoEx	17433
0.4	GSIgroup2	NoEx	652
0.4	GSIgroup3	NoEx	1208
0.4	GSIgroup4	NoEx	1257
0.4	GSIgroup5	NoEx	1556
0.4	GSIgroup6	NoEx	3314
0.4	GSIgroup7	NoEx	1811
0.4	GSIgroup8	NoEx	7951
0.4	GSIgroup9	NoEx	37990
0.4	pbtGroup1	NoEx	199
0.4	pbtGroup10	NoEx	269
0.4	pbtGroup11	NoEx	3610
0.4	pbtGroup12	NoEx	298
0.4	pbtGroup13	NoEx	421
0.4	pbtGroup14	NoEx	417
0.4	pbtGroup15	NoEx	1094
0.4	pbtGroup16	NoEx	509
0.4	pbtGroup17	NoEx	639
0.4	pbtGroup18	NoEx	1031
0.4	pbtGroup19	NoEx	1003
0.4	pbtGroup2	NoEx	512
0.4	pbtGroup20	NoEx	1375
0.4	pbtGroup21	NoEx	763
0.4	pbtGroup22	NoEx	3773
0.4	pbtGroup23	NoEx	1022
0.4	pbtGroup24	NoEx	3687
0.4	pbtGroup25	NoEx	5325
0.4	pbtGroup3	NoEx	191
0.4	pbtGroup4	NoEx	233
0.4	pbtGroup5	NoEx	278
0.4	pbtGroup6	NoEx	254
0.4	pbtGroup7	NoEx	251
0.4	pbtGroup8	NoEx	250
0.4	pbtGroup9	NoEx	255
0.05	GSIgroup1	TotEx	5235
0.05	GSIgroup10	TotEx	52280
0.05	GSIgroup2	TotEx	5635
0.05	GSIgroup3	TotEx	8963
0.05	GSIgroup4	TotEx	10862
0.05	GSIgroup5	TotEx	10207
0.05	GSIgroup6	TotEx	14029
0.05	GSIgroup7	TotEx	13781
0.05	GSIgroup8	TotEx	24032
0.05	GSIgroup9	TotEx	52963
0.05	pbtGroup1	TotEx	NA
0.05	pbtGroup10	TotEx	NA
0.05	pbtGroup11	TotEx	NA
0.05	pbtGroup12	TotEx	NA
0.05	pbtGroup13	TotEx	NA
0.05	pbtGroup14	TotEx	NA
0.05	pbtGroup15	TotEx	NA
0.05	pbtGroup16	TotEx	NA
0.05	pbtGroup17	TotEx	NA
0.05	pbtGroup18	TotEx	NA
0.05	pbtGroup19	TotEx	NA
0.05	pbtGroup2	TotEx	NA
0.05	pbtGroup20	TotEx	NA
0.05	pbtGroup21	TotEx	NA
0.05	pbtGroup22	TotEx	NA
0.05	pbtGroup23	TotEx	NA
0.05	pbtGroup24	TotEx	NA
0.05	pbtGroup25	TotEx	NA
0.05	pbtGroup3	TotEx	NA
0.05	pbtGroup4	TotEx	NA
0.05	pbtGroup5	TotEx	NA
0.05	pbtGroup6	TotEx	NA
0.05	pbtGroup7	TotEx	NA
0.05	pbtGroup8	TotEx	NA
0.05	pbtGroup9	TotEx	NA
0.075	GSIgroup1	TotEx	3612
0.075	GSIgroup10	TotEx	36767
0.075	GSIgroup2	TotEx	3479
0.075	GSIgroup3	TotEx	6115
0.075	GSIgroup4	TotEx	6737
0.075	GSIgroup5	TotEx	7674
0.075	GSIgroup6	TotEx	8908
0.075	GSIgroup7	TotEx	9620
0.075	GSIgroup8	TotEx	14653
0.075	GSIgroup9	TotEx	39433
0.075	pbtGroup1	TotEx	NA
0.075	pbtGroup10	TotEx	NA
0.075	pbtGroup11	TotEx	NA
0.075	pbtGroup12	TotEx	NA
0.075	pbtGroup13	TotEx	NA
0.075	pbtGroup14	TotEx	NA
0.075	pbtGroup15	TotEx	NA
0.075	pbtGroup16	TotEx	NA
0.075	pbtGroup17	TotEx	NA
0.075	pbtGroup18	TotEx	NA
0.075	pbtGroup19	TotEx	NA
0.075	pbtGroup2	TotEx	NA
0.075	pbtGroup20	TotEx	NA
0.075	pbtGroup21	TotEx	NA
0.075	pbtGroup22	TotEx	NA
0.075	pbtGroup23	TotEx	NA
0.075	pbtGroup24	TotEx	NA
0.075	pbtGroup25	TotEx	NA
0.075	pbtGroup3	TotEx	NA
0.075	pbtGroup4	TotEx	NA
0.075	pbtGroup5	TotEx	NA
0.075	pbtGroup6	TotEx	NA
0.075	pbtGroup7	TotEx	NA
0.075	pbtGroup8	TotEx	NA
0.075	pbtGroup9	TotEx	NA
0.1	GSIgroup1	TotEx	2762
0.1	GSIgroup10	TotEx	27649
0.1	GSIgroup2	TotEx	2754
0.1	GSIgroup3	TotEx	4509
0.1	GSIgroup4	TotEx	4714
0.1	GSIgroup5	TotEx	5536
0.1	GSIgroup6	TotEx	6852
0.1	GSIgroup7	TotEx	6977
0.1	GSIgroup8	TotEx	11284
0.1	GSIgroup9	TotEx	28747
0.1	pbtGroup1	TotEx	NA
0.1	pbtGroup10	TotEx	NA
0.1	pbtGroup11	TotEx	NA
0.1	pbtGroup12	TotEx	NA
0.1	pbtGroup13	TotEx	NA
0.1	pbtGroup14	TotEx	NA
0.1	pbtGroup15	TotEx	NA
0.1	pbtGroup16	TotEx	NA
0.1	pbtGroup17	TotEx	NA
0.1	pbtGroup18	TotEx	NA
0.1	pbtGroup19	TotEx	NA
0.1	pbtGroup2	TotEx	NA
0.1	pbtGroup20	TotEx	NA
0.1	pbtGroup21	TotEx	NA
0.1	pbtGroup22	TotEx	NA
0.1	pbtGroup23	TotEx	NA
0.1	pbtGroup24	TotEx	NA
0.1	pbtGroup25	TotEx	NA
0.1	pbtGroup3	TotEx	NA
0.1	pbtGroup4	TotEx	NA
0.1	pbtGroup5	TotEx	NA
0.1	pbtGroup6	TotEx	NA
0.1	pbtGroup7	TotEx	NA
0.1	pbtGroup8	TotEx	NA
0.1	pbtGroup9	TotEx	NA
0.15	GSIgroup1	TotEx	1732
0.15	GSIgroup10	TotEx	17973
0.15	GSIgroup2	TotEx	1877
0.15	GSIgroup3	TotEx	3012
0.15	GSIgroup4	TotEx	3465
0.15	GSIgroup5	TotEx	3829
0.15	GSIgroup6	TotEx	4383
0.15	GSIgroup7	TotEx	4253
0.15	GSIgroup8	TotEx	6913
0.15	GSIgroup9	TotEx	18355
0.15	pbtGroup1	TotEx	NA
0.15	pbtGroup10	TotEx	NA
0.15	pbtGroup11	TotEx	NA
0.15	pbtGroup12	TotEx	NA
0.15	pbtGroup13	TotEx	NA
0.15	pbtGroup14	TotEx	NA
0.15	pbtGroup15	TotEx	NA
0.15	pbtGroup16	TotEx	NA
0.15	pbtGroup17	TotEx	NA
0.15	pbtGroup18	TotEx	NA
0.15	pbtGroup19	TotEx	NA
0.15	pbtGroup2	TotEx	NA
0.15	pbtGroup20	TotEx	NA
0.15	pbtGroup21	TotEx	NA
0.15	pbtGroup22	TotEx	NA
0.15	pbtGroup23	TotEx	NA
0.15	pbtGroup24	TotEx	NA
0.15	pbtGroup25	TotEx	NA
0.15	pbtGroup3	TotEx	NA
0.15	pbtGroup4	TotEx	NA
0.15	pbtGroup5	TotEx	NA
0.15	pbtGroup6	TotEx	NA
0.15	pbtGroup7	TotEx	NA
0.15	pbtGroup8	TotEx	NA
0.15	pbtGroup9	TotEx	NA
0.2	GSIgroup1	TotEx	1347
0.2	GSIgroup10	TotEx	14390
0.2	GSIgroup2	TotEx	1252
0.2	GSIgroup3	TotEx	2477
0.2	GSIgroup4	TotEx	2378
0.2	GSIgroup5	TotEx	3061
0.2	GSIgroup6	TotEx	3520
0.2	GSIgroup7	TotEx	3919
0.2	GSIgroup8	TotEx	6207
0.2	GSIgroup9	TotEx	15471
0.2	pbtGroup1	TotEx	NA
0.2	pbtGroup10	TotEx	NA
0.2	pbtGroup11	TotEx	NA
0.2	pbtGroup12	TotEx	NA
0.2	pbtGroup13	TotEx	NA
0.2	pbtGroup14	TotEx	NA
0.2	pbtGroup15	TotEx	NA
0.2	pbtGroup16	TotEx	NA
0.2	pbtGroup17	TotEx	NA
0.2	pbtGroup18	TotEx	NA
0.2	pbtGroup19	TotEx	NA
0.2	pbtGroup2	TotEx	NA
0.2	pbtGroup20	TotEx	NA
0.2	pbtGroup21	TotEx	NA
0.2	pbtGroup22	TotEx	NA
0.2	pbtGroup23	TotEx	NA
0.2	pbtGroup24	TotEx	NA
0.2	pbtGroup25	TotEx	NA
0.2	pbtGroup3	TotEx	NA
0.2	pbtGroup4	TotEx	NA
0.2	pbtGroup5	TotEx	NA
0.2	pbtGroup6	TotEx	NA
0.2	pbtGroup7	TotEx	NA
0.2	pbtGroup8	TotEx	NA
0.2	pbtGroup9	TotEx	NA
0.25	GSIgroup1	TotEx	1154
0.25	GSIgroup10	TotEx	12334
0.25	GSIgroup2	TotEx	1057
0.25	GSIgroup3	TotEx	2067
0.25	GSIgroup4	TotEx	1995
0.25	GSIgroup5	TotEx	2046
0.25	GSIgroup6	TotEx	2525
0.25	GSIgroup7	TotEx	2712
0.25	GSIgroup8	TotEx	4979
0.25	GSIgroup9	TotEx	14410
0.25	pbtGroup1	TotEx	NA
0.25	pbtGroup10	TotEx	NA
0.25	pbtGroup11	TotEx	NA
0.25	pbtGroup12	TotEx	NA
0.25	pbtGroup13	TotEx	NA
0.25	pbtGroup14	TotEx	NA
0.25	pbtGroup15	TotEx	NA
0.25	pbtGroup16	TotEx	NA
0.25	pbtGroup17	TotEx	NA
0.25	pbtGroup18	TotEx	NA
0.25	pbtGroup19	TotEx	NA
0.25	pbtGroup2	TotEx	NA
0.25	pbtGroup20	TotEx	NA
0.25	pbtGroup21	TotEx	NA
0.25	pbtGroup22	TotEx	NA
0.25	pbtGroup23	TotEx	NA
0.25	pbtGroup24	TotEx	NA
0.25	pbtGroup25	TotEx	NA
0.25	pbtGroup3	TotEx	NA
0.25	pbtGroup4	TotEx	NA
0.25	pbtGroup5	TotEx	NA
0.25	pbtGroup6	TotEx	NA
0.25	pbtGroup7	TotEx	NA
0.25	pbtGroup8	TotEx	NA
0.25	pbtGroup9	TotEx	NA
0.3	GSIgroup1	TotEx	971
0.3	GSIgroup10	TotEx	9408
0.3	GSIgroup2	TotEx	854
0.3	GSIgroup3	TotEx	1779
0.3	GSIgroup4	TotEx	1897
0.3	GSIgroup5	TotEx	1724
0.3	GSIgroup6	TotEx	2188
0.3	GSIgroup7	TotEx	2232
0.3	GSIgroup8	TotEx	4491
0.3	GSIgroup9	TotEx	10813
0.3	pbtGroup1	TotEx	NA
0.3	pbtGroup10	TotEx	NA
0.3	pbtGroup11	TotEx	NA
0.3	pbtGroup12	TotEx	NA
0.3	pbtGroup13	TotEx	NA
0.3	pbtGroup14	TotEx	NA
0.3	pbtGroup15	TotEx	NA
0.3	pbtGroup16	TotEx	NA
0.3	pbtGroup17	TotEx	NA
0.3	pbtGroup18	TotEx	NA
0.3	pbtGroup19	TotEx	NA
0.3	pbtGroup2	TotEx	NA
0.3	pbtGroup20	TotEx	NA
0.3	pbtGroup21	TotEx	NA
0.3	pbtGroup22	TotEx	NA
0.3	pbtGroup23	TotEx	NA
0.3	pbtGroup24	TotEx	NA
0.3	pbtGroup25	TotEx	NA
0.3	pbtGroup3	TotEx	NA
0.3	pbtGroup4	TotEx	NA
0.3	pbtGroup5	TotEx	NA
0.3	pbtGroup6	TotEx	NA
0.3	pbtGroup7	TotEx	NA
0.3	pbtGroup8	TotEx	NA
0.3	pbtGroup9	TotEx	NA
0.35	GSIgroup1	TotEx	875
0.35	GSIgroup10	TotEx	8513
0.35	GSIgroup2	TotEx	740
0.35	GSIgroup3	TotEx	1381
0.35	GSIgroup4	TotEx	1544
