sr	group	covSD	covMLE
0.25	pbtGroup15	0.906	0.906
0.25	pbtGroup16	0.894	0.896
0.25	pbtGroup17	0.914	0.922
0.25	pbtGroup18	0.864	0.864
0.25	pbtGroup19	0.908	0.918
0.25	pbtGroup2	0.898	0.898
0.25	pbtGroup20	0.924	0.92
0.25	pbtGroup21	0.882	0.888
0.25	pbtGroup22	0.874	0.882
0.25	pbtGroup23	0.896	0.894
0.25	pbtGroup24	0.916	0.912
0.25	pbtGroup25	0.91	0.908
0.25	pbtGroup3	0.902	0.896
0.25	pbtGroup4	0.88	0.886
0.25	pbtGroup5	0.896	0.898
0.25	pbtGroup6	0.906	0.904
0.25	pbtGroup7	0.884	0.888
0.25	pbtGroup8	0.892	0.896
0.25	pbtGroup9	0.928	0.93
0.3	GSIgroup1	0.902	0.906
0.3	GSIgroup10	0.9	0.898
0.3	GSIgroup2	0.914	0.912
0.3	GSIgroup3	0.892	0.896
0.3	GSIgroup4	0.894	0.896
0.3	GSIgroup5	0.916	0.916
0.3	GSIgroup6	0.902	0.902
0.3	GSIgroup7	0.912	0.918
0.3	GSIgroup8	0.888	0.882
0.3	GSIgroup9	0.902	0.908
0.3	pbtGroup1	0.896	0.896
0.3	pbtGroup10	0.908	0.91
0.3	pbtGroup11	0.874	0.872
0.3	pbtGroup12	0.906	0.904
0.3	pbtGroup13	0.89	0.892
0.3	pbtGroup14	0.904	0.9
0.3	pbtGroup15	0.898	0.902
0.3	pbtGroup16	0.878	0.878
0.3	pbtGroup17	0.906	0.91
0.3	pbtGroup18	0.912	0.904
0.3	pbtGroup19	0.896	0.904
0.3	pbtGroup2	0.878	0.87
0.3	pbtGroup20	0.9	0.898
0.3	pbtGroup21	0.906	0.91
0.3	pbtGroup22	0.9	0.898
0.3	pbtGroup23	0.892	0.888
0.3	pbtGroup24	0.888	0.89
0.3	pbtGroup25	0.89	0.882
0.3	pbtGroup3	0.878	0.884
0.3	pbtGroup4	0.904	0.898
0.3	pbtGroup5	0.874	0.872
0.3	pbtGroup6	0.878	0.878
0.3	pbtGroup7	0.91	0.91
0.3	pbtGroup8	0.886	0.888
0.3	pbtGroup9	0.916	0.914
0.35	GSIgroup1	0.882	0.882
0.35	GSIgroup10	0.896	0.894
0.35	GSIgroup2	0.904	0.902
0.35	GSIgroup3	0.898	0.9
0.35	GSIgroup4	0.906	0.91
0.35	GSIgroup5	0.898	0.912
0.35	GSIgroup6	0.91	0.912
0.35	GSIgroup7	0.9	0.902
0.35	GSIgroup8	0.916	0.914
0.35	GSIgroup9	0.912	0.912
0.35	pbtGroup1	0.898	0.902
0.35	pbtGroup10	0.904	0.9
0.35	pbtGroup11	0.906	0.912
0.35	pbtGroup12	0.88	0.88
0.35	pbtGroup13	0.882	0.89
0.35	pbtGroup14	0.854	0.85
0.35	pbtGroup15	0.874	0.872
0.35	pbtGroup16	0.894	0.898
0.35	pbtGroup17	0.884	0.882
0.35	pbtGroup18	0.902	0.896
0.35	pbtGroup19	0.894	0.898
0.35	pbtGroup2	0.902	0.9
0.35	pbtGroup20	0.898	0.894
0.35	pbtGroup21	0.924	0.934
0.35	pbtGroup22	0.89	0.886
0.35	pbtGroup23	0.9	0.904
0.35	pbtGroup24	0.886	0.888
0.35	pbtGroup25	0.88	0.88
0.35	pbtGroup3	0.904	0.89
0.35	pbtGroup4	0.92	0.916
0.35	pbtGroup5	0.892	0.898
0.35	pbtGroup6	0.908	0.904
0.35	pbtGroup7	0.874	0.878
0.35	pbtGroup8	0.904	0.906
0.35	pbtGroup9	0.884	0.89
0.4	GSIgroup1	0.896	0.9
0.4	GSIgroup10	0.886	0.882
0.4	GSIgroup2	0.882	0.892
0.4	GSIgroup3	0.896	0.888
0.4	GSIgroup4	0.904	0.904
0.4	GSIgroup5	0.892	0.894
0.4	GSIgroup6	0.916	0.92
0.4	GSIgroup7	0.908	0.9
0.4	GSIgroup8	0.908	0.908
0.4	GSIgroup9	0.892	0.892
0.4	pbtGroup1	0.9	0.9
0.4	pbtGroup10	0.91	0.9
