group	type	MSE
pbtGroup6_cat2	Ac	1028
pbtGroup7_cat1	Ac	484
pbtGroup7_cat2	Ac	1224
pbtGroup8_cat1	Ac	485
pbtGroup8_cat2	Ac	1227
pbtGroup9_cat1	Ac	608
pbtGroup9_cat2	Ac	1382
GSIgroup1_cat1	MLE	995
GSIgroup1_cat2	MLE	505
GSIgroup10_cat1	MLE	17233
GSIgroup10_cat2	MLE	20049
GSIgroup2_cat1	MLE	961
GSIgroup2_cat2	MLE	403
GSIgroup3_cat1	MLE	1769
GSIgroup3_cat2	MLE	902
GSIgroup4_cat1	MLE	2098
GSIgroup4_cat2	MLE	1139
GSIgroup5_cat1	MLE	3057
GSIgroup5_cat2	MLE	2778
GSIgroup6_cat1	MLE	3244
GSIgroup6_cat2	MLE	3052
GSIgroup7_cat1	MLE	2692
GSIgroup7_cat2	MLE	2016
GSIgroup8_cat1	MLE	8767
GSIgroup8_cat2	MLE	10257
GSIgroup9_cat1	MLE	19320
GSIgroup9_cat2	MLE	19843
pbtGroup1_cat2	MLE	791
pbtGroup10_cat1	MLE	650
pbtGroup10_cat2	MLE	1282
pbtGroup11_cat1	MLE	865
pbtGroup11_cat2	MLE	1759
pbtGroup12_cat1	MLE	624
pbtGroup12_cat2	MLE	1374
pbtGroup13_cat1	MLE	582
pbtGroup13_cat2	MLE	1220
pbtGroup14_cat1	MLE	956
pbtGroup14_cat2	MLE	1844
pbtGroup15_cat1	MLE	955
pbtGroup15_cat2	MLE	2044
pbtGroup16_cat1	MLE	1123
pbtGroup16_cat2	MLE	2409
pbtGroup17_cat1	MLE	1229
pbtGroup17_cat2	MLE	2940
pbtGroup18_cat1	MLE	1599
pbtGroup18_cat2	MLE	3908
pbtGroup19_cat1	MLE	1596
pbtGroup19_cat2	MLE	3443
pbtGroup2_cat1	MLE	364
pbtGroup2_cat2	MLE	778
pbtGroup20_cat1	MLE	1671
pbtGroup20_cat2	MLE	3864
pbtGroup21_cat1	MLE	1924
pbtGroup21_cat2	MLE	4010
pbtGroup22_cat1	MLE	1960
pbtGroup22_cat2	MLE	3618
pbtGroup23_cat1	MLE	2030
pbtGroup23_cat2	MLE	4379
pbtGroup24_cat1	MLE	2186
pbtGroup24_cat2	MLE	4346
pbtGroup25_cat1	MLE	4862
pbtGroup25_cat2	MLE	11103
pbtGroup3_cat1	MLE	419
pbtGroup3_cat2	MLE	840
pbtGroup4_cat1	MLE	497
pbtGroup4_cat2	MLE	1083
pbtGroup5_cat1	MLE	481
pbtGroup5_cat2	MLE	1278
pbtGroup6_cat1	MLE	450
pbtGroup6_cat2	MLE	1033
pbtGroup7_cat1	MLE	502
pbtGroup7_cat2	MLE	1109
pbtGroup8_cat1	MLE	486
pbtGroup8_cat2	MLE	1041
pbtGroup9_cat1	MLE	665
pbtGroup9_cat2	MLE	1391
